DEF_HARPNUM,Minimum,Maximum
5296,2015-03-05 11:12:00,2015-03-06 18:36:00
3604,2014-01-08 03:12:00,2014-01-18 13:24:00
3790,2014-02-22 21:36:00,2014-02-23 16:12:00
5375,2015-03-23 07:36:00,2015-04-02 09:36:00
243,2010-10-30 05:00:00,2010-11-02 10:12:00
6843,2016-11-13 08:36:00,2016-11-21 00:00:00
234,2010-10-24 01:12:00,2010-10-28 12:12:00
2751,2013-05-15 08:00:00,2013-05-22 01:48:00
6939,2017-01-30 09:48:00,2017-02-05 17:36:00
6514,2016-04-25 05:12:00,2016-04-25 13:24:00
5865,2015-08-09 10:48:00,2015-08-19 11:24:00
5986,2015-09-23 22:24:00,2015-09-29 13:00:00
5968,2015-09-17 02:36:00,2015-09-18 06:00:00
3034,2013-08-01 05:00:00,2013-08-06 19:36:00
1694,2012-05-22 06:36:00,2012-05-27 08:24:00
5545,2015-05-08 10:12:00,2015-05-20 21:24:00
1777,2012-06-15 06:12:00,2012-06-16 23:48:00
673,2011-06-15 04:12:00,2011-06-22 02:12:00
604,2011-05-15 05:24:00,2011-05-15 16:12:00
6029,2015-10-16 20:36:00,2015-10-19 00:00:00
790,2011-08-13 08:12:00,2011-08-19 08:12:00
4667,2014-10-07 03:36:00,2014-10-20 07:12:00
6153,2015-12-02 16:48:00,2015-12-11 04:48:00
2361,2013-01-04 03:00:00,2013-01-11 13:48:00
2316,2012-12-18 22:12:00,2012-12-20 11:24:00
4784,2014-11-04 03:36:00,2014-11-11 23:12:00
6124,2015-11-19 01:00:00,2015-12-01 23:00:00
4610,2014-09-25 08:36:00,2014-10-07 17:12:00
3953,2014-03-31 09:36:00,2014-04-03 03:24:00
3590,2014-01-06 09:12:00,2014-01-13 23:12:00
1330,2012-01-16 03:36:00,2012-01-20 03:00:00
5096,2015-01-16 21:00:00,2015-01-25 15:24:00
3473,2013-12-06 13:24:00,2013-12-20 22:36:00
2211,2012-11-14 09:12:00,2012-11-15 03:24:00
4683,2014-10-13 06:24:00,2014-10-17 20:36:00
679,2011-06-20 19:36:00,2011-06-24 13:00:00
4760,2014-10-29 14:00:00,2014-11-10 00:12:00
6054,2015-10-24 17:24:00,2015-10-31 20:48:00
703,2011-07-07 09:36:00,2011-07-08 07:00:00
2288,2012-12-10 18:12:00,2012-12-18 19:12:00
6159,2015-12-04 00:24:00,2015-12-07 06:12:00
774,2011-08-09 17:48:00,2011-08-16 17:36:00
5072,2015-01-12 19:00:00,2015-01-18 05:48:00
3574,2014-01-03 06:36:00,2014-01-09 05:00:00
3503,2013-12-14 01:36:00,2013-12-21 03:12:00
1237,2011-12-22 18:36:00,2012-01-05 08:12:00
5191,2015-02-09 04:12:00,2015-02-12 10:48:00
3959,2014-04-01 16:48:00,2014-04-02 10:24:00
3497,2013-12-11 18:24:00,2013-12-25 09:48:00
5005,2014-12-28 00:12:00,2015-01-05 23:12:00
3823,2014-03-04 09:12:00,2014-03-05 23:24:00
5108,2015-01-21 20:12:00,2015-01-28 17:12:00
6587,2016-05-27 05:48:00,2016-05-29 00:24:00
6464,2016-03-30 21:00:00,2016-04-09 10:48:00
4350,2014-07-07 03:48:00,2014-07-08 23:36:00
2656,2013-04-11 09:36:00,2013-04-18 23:00:00
344,2011-01-12 20:48:00,2011-01-17 16:12:00
5818,2015-07-26 19:48:00,2015-08-07 20:12:00
5442,2015-04-07 12:00:00,2015-04-12 14:48:00
7301,2018-09-02 03:36:00,2018-09-05 00:00:00
7295,2018-08-10 12:48:00,2018-08-11 16:48:00
3049,2013-08-06 14:12:00,2013-08-12 11:36:00
5915,2015-08-26 00:48:00,2015-08-28 17:12:00
5962,2015-09-13 11:12:00,2015-09-18 08:00:00
5538,2015-05-03 17:00:00,2015-05-10 08:36:00
3600,2014-01-07 11:24:00,2014-01-09 18:24:00
3677,2014-01-22 23:00:00,2014-01-26 19:00:00
1039,2011-11-04 07:12:00,2011-11-04 19:12:00
4463,2014-08-15 17:48:00,2014-08-16 03:12:00
2165,2012-10-28 08:48:00,2012-11-02 03:12:00
4839,2014-11-15 11:12:00,2014-11-25 02:48:00
920,2011-10-01 21:48:00,2011-10-02 12:48:00
957,2011-10-12 04:00:00,2011-10-14 01:48:00
4580,2014-09-18 12:24:00,2014-10-03 14:36:00
2112,2012-10-10 03:36:00,2012-10-21 17:12:00
4414,2014-07-30 04:48:00,2014-08-02 19:12:00
6320,2016-02-03 06:24:00,2016-02-12 14:48:00
2086,2012-09-28 22:12:00,2012-10-04 17:48:00
4519,2014-08-31 00:36:00,2014-09-07 15:48:00
4943,2014-12-13 01:24:00,2014-12-24 13:12:00
3230,2013-09-25 18:48:00,2013-09-26 08:24:00
1504,2012-03-24 00:48:00,2012-03-28 06:12:00
5736,2015-07-01 09:36:00,2015-07-04 02:48:00
5741,2015-07-02 08:12:00,2015-07-09 16:12:00
7075,2017-07-05 06:48:00,2017-07-18 09:48:00
1573,2012-04-14 05:12:00,2012-04-24 19:00:00
3247,2013-10-01 17:24:00,2013-10-14 13:48:00
1409,2012-02-16 17:12:00,2012-02-16 23:12:00
7178,2017-10-28 12:48:00,2017-10-30 16:12:00
2555,2013-03-09 19:24:00,2013-03-12 20:00:00
4053,2014-04-22 05:36:00,2014-04-28 10:36:00
2978,2013-07-16 02:48:00,2013-07-17 04:36:00
6710,2016-08-14 10:48:00,2016-08-14 14:24:00
6684,2016-07-17 06:00:00,2016-07-20 00:48:00
2522,2013-03-02 10:12:00,2013-03-17 03:12:00
2458,2013-02-04 19:12:00,2013-02-10 21:36:00
2996,2013-07-20 23:00:00,2013-07-21 04:00:00
6789,2016-10-01 18:12:00,2016-10-13 13:00:00
2875,2013-06-18 11:36:00,2013-06-26 01:00:00
4129,2014-05-12 01:36:00,2014-05-15 20:48:00
7008,2017-05-12 05:48:00,2017-05-12 19:00:00
1474,2012-03-14 01:24:00,2012-03-14 10:12:00
7172,2017-10-22 22:24:00,2017-10-30 15:12:00
7105,2017-08-09 07:36:00,2017-08-10 19:36:00
3337,2013-11-01 00:24:00,2013-11-01 18:00:00
2972,2013-07-15 10:00:00,2013-07-21 07:48:00
2891,2013-06-23 03:36:00,2013-06-24 06:24:00
140,2010-08-21 10:12:00,2010-08-23 03:12:00
2905,2013-06-27 02:48:00,2013-06-27 16:24:00
6783,2016-09-29 09:12:00,2016-09-30 16:48:00
2425,2013-01-26 23:24:00,2013-01-30 01:12:00
6617,2016-06-11 16:48:00,2016-06-23 13:24:00
4123,2014-05-10 15:12:00,2014-05-24 02:36:00
4154,2014-05-18 19:36:00,2014-05-19 16:48:00
2808,2013-05-28 21:00:00,2013-06-05 01:12:00
2452,2013-02-03 15:36:00,2013-02-14 00:24:00
1149,2011-12-03 14:00:00,2011-12-14 05:48:00
5298,2015-03-05 23:24:00,2015-03-20 09:36:00
5201,2015-02-11 05:00:00,2015-02-14 17:36:00
2118,2012-10-16 16:36:00,2012-10-23 12:24:00
493,2011-04-06 15:24:00,2011-04-06 23:48:00
507,2011-04-13 05:00:00,2011-04-16 15:36:00
4469,2014-08-17 04:48:00,2014-08-28 13:00:00
6227,2016-01-02 15:12:00,2016-01-11 07:36:00
2181,2012-11-05 23:00:00,2012-11-18 06:48:00
850,2011-09-08 13:24:00,2011-09-18 11:48:00
11,2010-05-03 04:36:00,2010-05-06 10:36:00
2015,2012-09-05 02:24:00,2012-09-06 12:24:00
2062,2012-09-24 13:24:00,2012-09-24 17:00:00
66,2010-06-23 12:12:00,2010-07-02 03:24:00
827,2011-08-28 05:36:00,2011-08-30 17:12:00
6250,2016-01-07 14:00:00,2016-01-13 10:00:00
3882,2014-03-19 05:12:00,2014-03-20 06:00:00
1278,2012-01-02 04:48:00,2012-01-15 11:24:00
3961,2014-04-02 15:36:00,2014-04-04 03:12:00
3441,2013-11-27 11:48:00,2013-12-03 12:00:00
1302,2012-01-08 17:00:00,2012-01-15 20:12:00
3436,2013-11-26 16:36:00,2013-12-01 19:24:00
5130,2015-01-27 20:36:00,2015-02-05 01:24:00
2229,2012-11-19 13:12:00,2012-11-21 07:12:00
636,2011-05-27 04:00:00,2011-05-30 08:48:00
4758,2014-10-28 23:12:00,2014-10-29 13:00:00
2324,2012-12-25 00:24:00,2012-12-26 05:00:00
2353,2013-01-02 19:36:00,2013-01-08 23:12:00
6161,2015-12-04 06:00:00,2015-12-12 07:00:00
4655,2014-10-03 19:12:00,2014-10-16 11:36:00
5820,2015-07-27 08:48:00,2015-08-07 21:12:00
1648,2012-05-09 06:12:00,2012-05-10 01:12:00
5857,2015-08-06 04:36:00,2015-08-10 02:24:00
7339,2019-02-09 05:48:00,2019-02-09 23:00:00
3071,2013-08-12 11:24:00,2013-08-19 00:24:00
5577,2015-05-15 23:24:00,2015-05-24 16:00:00
3192,2013-09-17 00:36:00,2013-09-27 04:12:00
5500,2015-04-22 06:36:00,2015-04-24 16:48:00
5494,2015-04-21 17:36:00,2015-04-27 20:36:00
206,2010-10-04 03:00:00,2010-10-05 00:36:00
392,2011-02-24 01:36:00,2011-03-07 06:48:00
2619,2013-04-01 00:00:00,2013-04-14 11:48:00
6806,2016-10-12 17:36:00,2016-10-22 06:24:00
2714,2013-05-02 11:12:00,2013-05-03 22:12:00
4386,2014-07-24 07:12:00,2014-07-24 20:00:00
4265,2014-06-17 15:24:00,2014-06-20 05:24:00
5593,2015-05-18 09:36:00,2015-05-18 18:48:00
3095,2013-08-17 05:36:00,2013-08-19 15:00:00
1642,2012-05-06 15:00:00,2012-05-16 18:36:00
3176,2013-09-10 19:36:00,2013-09-21 05:00:00
1738,2012-06-04 05:12:00,2012-06-07 07:00:00
5950,2015-09-08 05:00:00,2015-09-09 15:48:00
5927,2015-08-29 13:36:00,2015-09-09 09:24:00
7249,2018-04-15 11:48:00,2018-04-16 08:48:00
6998,2017-04-25 05:36:00,2017-04-25 17:36:00
4362,2014-07-13 17:00:00,2014-07-15 09:36:00
6421,2016-03-10 13:48:00,2016-03-16 10:36:00
2787,2013-05-25 11:36:00,2013-05-25 18:12:00
4315,2014-06-30 18:24:00,2014-07-14 00:00:00
398,2011-03-01 06:36:00,2011-03-01 15:36:00
6895,2016-12-26 08:00:00,2016-12-29 21:00:00
6901,2016-12-31 11:12:00,2017-01-01 19:48:00
6976,2017-03-28 21:00:00,2017-04-05 23:24:00
4218,2014-06-06 14:00:00,2014-06-18 18:48:00
301,2010-12-15 12:00:00,2010-12-23 15:24:00
1391,2012-02-09 04:00:00,2012-02-19 18:12:00
1205,2011-12-15 18:36:00,2011-12-18 20:00:00
1272,2011-12-31 06:48:00,2012-01-04 00:24:00
1308,2012-01-11 06:12:00,2012-01-15 05:24:00
3866,2014-03-16 15:48:00,2014-03-22 13:24:00
3985,2014-04-07 07:24:00,2014-04-21 01:48:00
6066,2015-10-29 22:36:00,2015-11-06 02:00:00
2254,2012-11-29 03:24:00,2012-12-01 17:00:00
6185,2015-12-13 02:24:00,2015-12-13 23:00:00
4725,2014-10-21 08:48:00,2014-10-25 18:36:00
746,2011-07-23 19:24:00,2011-08-05 19:36:00
731,2011-07-15 21:36:00,2011-07-15 23:48:00
4182,2014-05-29 03:24:00,2014-05-30 13:12:00
6722,2016-08-24 13:48:00,2016-09-03 20:00:00
178,2010-09-10 23:12:00,2010-09-12 07:12:00
4061,2014-04-23 22:24:00,2014-05-01 03:24:00
2567,2013-03-12 04:36:00,2013-03-15 09:00:00
2847,2013-06-10 21:12:00,2013-06-15 00:24:00
6658,2016-07-04 08:36:00,2016-07-06 01:00:00
3275,2013-10-12 19:48:00,2013-10-14 12:12:00
1541,2012-04-03 03:00:00,2012-04-07 15:36:00
7047,2017-06-13 00:48:00,2017-06-19 18:48:00
5773,2015-07-11 21:36:00,2015-07-12 03:36:00
5704,2015-06-20 04:12:00,2015-06-21 12:24:00
3396,2013-11-16 18:24:00,2013-11-28 11:24:00
7030,2017-05-25 20:00:00,2017-06-05 19:36:00
5690,2015-06-15 12:00:00,2015-06-18 21:00:00
1982,2012-08-27 07:12:00,2012-09-03 22:48:00
6312,2016-01-30 11:36:00,2016-02-03 20:48:00
912,2011-09-29 19:36:00,2011-09-30 05:48:00
548,2011-04-26 07:36:00,2011-04-26 15:12:00
4451,2014-08-11 19:36:00,2014-08-19 21:36:00
6365,2016-02-16 17:48:00,2016-02-24 14:12:00
29,2010-05-22 12:00:00,2010-05-23 07:24:00
868,2011-09-13 15:48:00,2011-09-15 01:48:00
432,2011-03-18 12:48:00,2011-03-19 22:24:00
4892,2014-12-03 09:48:00,2014-12-03 10:12:00
6268,2016-01-12 12:12:00,2016-01-12 18:24:00
6,2010-05-01 00:00:00,2010-05-05 08:36:00
4906,2014-12-06 14:00:00,2014-12-09 02:12:00
1171,2011-12-07 16:48:00,2011-12-19 15:24:00
3632,2014-01-14 15:24:00,2014-01-14 20:12:00
1092,2011-11-16 21:24:00,2011-11-29 01:48:00
5334,2015-03-14 08:48:00,2015-03-18 14:24:00
3748,2014-02-12 21:00:00,2014-02-13 13:00:00
5239,2015-02-19 00:36:00,2015-02-20 22:12:00
918,2011-10-01 07:36:00,2011-10-15 03:24:00
4801,2014-11-07 16:48:00,2014-11-16 22:36:00
4995,2014-12-25 05:36:00,2014-12-31 11:00:00
542,2011-04-25 14:36:00,2011-05-01 11:36:00
535,2011-04-25 06:12:00,2011-05-03 01:48:00
6318,2016-02-02 07:48:00,2016-02-05 06:48:00
4898,2014-12-04 16:36:00,2014-12-11 23:36:00
4556,2014-09-11 17:48:00,2014-09-24 19:00:00
54,2010-06-11 06:24:00,2010-06-14 23:24:00
2027,2012-09-10 06:12:00,2012-09-10 13:48:00
6381,2016-02-21 16:00:00,2016-02-24 06:24:00
23,2010-05-19 01:12:00,2010-05-24 08:36:00
862,2011-09-12 12:36:00,2011-09-21 04:36:00
6215,2015-12-24 07:24:00,2015-12-31 04:12:00
438,2011-03-22 00:00:00,2011-04-01 04:24:00
4521,2014-08-31 02:36:00,2014-09-01 09:12:00
3638,2014-01-15 08:36:00,2014-01-15 17:12:00
5233,2015-02-18 01:00:00,2015-03-02 14:24:00
3735,2014-02-08 16:48:00,2014-02-12 21:48:00
1001,2011-10-22 18:00:00,2011-10-26 06:36:00
1076,2011-11-12 22:12:00,2011-11-14 22:36:00
3742,2014-02-10 15:00:00,2014-02-13 01:36:00
2937,2013-07-04 19:00:00,2013-07-14 11:24:00
4188,2014-05-30 18:48:00,2014-05-31 03:36:00
6728,2016-08-29 09:00:00,2016-09-09 16:24:00
105,2010-07-27 22:12:00,2010-08-03 15:36:00
2460,2013-02-05 21:00:00,2013-02-17 01:12:00
6652,2016-06-30 06:12:00,2016-07-01 04:12:00
4166,2014-05-23 10:12:00,2014-06-04 02:24:00
4111,2014-05-07 13:48:00,2014-05-21 11:36:00
2583,2013-03-20 10:48:00,2013-03-26 04:00:00
1885,2012-07-25 04:48:00,2012-07-26 13:00:00
1431,2012-02-24 23:24:00,2012-02-29 09:12:00
5797,2015-07-16 07:00:00,2015-07-16 10:12:00
3291,2013-10-16 15:48:00,2013-10-30 01:12:00
7140,2017-09-18 15:00:00,2017-09-26 07:00:00
5674,2015-06-10 23:00:00,2015-06-14 06:12:00
1988,2012-08-28 08:00:00,2012-08-29 05:24:00
1446,2012-03-01 11:36:00,2012-03-10 01:00:00
4239,2014-06-11 21:24:00,2014-06-15 05:48:00
320,2010-12-27 17:24:00,2011-01-02 14:36:00
6957,2017-02-23 19:36:00,2017-03-05 06:12:00
6499,2016-04-15 06:24:00,2016-04-22 03:24:00
2748,2013-05-13 05:36:00,2013-05-26 03:00:00
6920,2017-01-19 09:00:00,2017-01-30 09:36:00
357,2011-01-30 13:36:00,2011-02-02 22:00:00
6594,2016-05-30 18:00:00,2016-06-07 22:36:00
2632,2013-04-03 18:00:00,2013-04-07 07:12:00
4334,2014-07-04 05:48:00,2014-07-06 09:00:00
6477,2016-04-05 10:00:00,2016-04-06 20:48:00
4343,2014-07-05 22:36:00,2014-07-12 07:12:00
2645,2013-04-07 16:00:00,2013-04-13 11:24:00
5892,2015-08-21 08:24:00,2015-08-22 02:00:00
5906,2015-08-24 06:36:00,2015-08-27 23:12:00
1663,2012-05-13 12:12:00,2012-05-17 14:00:00
7312,2018-10-11 13:00:00,2018-10-22 05:12:00
7286,2018-07-12 11:24:00,2018-07-12 20:48:00
3120,2013-08-23 19:24:00,2013-08-31 13:12:00
684,2011-06-26 21:12:00,2011-07-07 17:00:00
4609,2014-09-25 05:12:00,2014-10-04 00:36:00
767,2011-08-05 10:00:00,2011-08-11 20:12:00
2378,2013-01-08 12:12:00,2013-01-10 03:36:00
6030,2015-10-17 01:36:00,2015-10-23 18:48:00
2396,2013-01-13 17:00:00,2013-01-15 14:24:00
4704,2014-10-17 00:24:00,2014-10-27 03:48:00
2202,2012-11-12 19:48:00,2012-11-14 19:24:00
4690,2014-10-14 08:00:00,2014-10-21 23:36:00
789,2011-08-13 05:36:00,2011-08-14 07:36:00
6047,2015-10-21 02:48:00,2015-10-22 08:36:00
3847,2014-03-11 04:36:00,2014-03-13 09:36:00
3589,2014-01-06 03:24:00,2014-01-09 21:12:00
1329,2012-01-15 22:00:00,2012-01-18 03:24:00
1253,2011-12-26 06:36:00,2011-12-27 22:48:00
3510,2013-12-15 18:12:00,2013-12-19 15:36:00
5182,2015-02-07 03:48:00,2015-02-09 07:24:00
1224,2011-12-19 03:12:00,2011-12-24 19:12:00
6140,2015-11-24 02:48:00,2015-12-06 03:36:00
2372,2013-01-07 18:48:00,2013-01-21 18:00:00
2291,2012-12-11 19:24:00,2012-12-19 03:00:00
4603,2014-09-23 03:36:00,2014-10-05 08:24:00
4779,2014-11-02 23:48:00,2014-11-03 02:36:00
660,2011-06-08 07:12:00,2011-06-12 18:24:00
617,2011-05-19 14:24:00,2011-05-20 13:12:00
5111,2015-01-24 06:24:00,2015-02-02 14:24:00
3417,2013-11-21 21:36:00,2013-11-22 17:12:00
5085,2015-01-15 15:36:00,2015-01-17 05:12:00
1354,2012-01-26 13:00:00,2012-01-28 08:48:00
3460,2013-12-02 17:12:00,2013-12-03 23:36:00
3937,2014-03-28 21:24:00,2014-03-30 06:12:00
2742,2013-05-10 23:24:00,2013-05-11 03:00:00
6570,2016-05-20 05:24:00,2016-05-26 18:00:00
4244,2014-06-13 00:24:00,2014-06-14 09:48:00
6507,2016-04-24 03:12:00,2016-05-05 13:48:00
6493,2016-04-13 00:12:00,2016-04-14 13:36:00
2735,2013-05-08 18:24:00,2013-05-21 06:12:00
250,2010-11-08 13:12:00,2010-11-17 07:00:00
3027,2013-07-29 13:24:00,2013-08-01 07:48:00
5521,2015-04-29 03:36:00,2015-05-09 14:24:00
7215,2017-12-20 18:00:00,2017-12-24 09:24:00
7262,2018-05-23 19:24:00,2018-06-05 21:00:00
5556,2015-05-12 11:12:00,2015-05-16 11:36:00
1764,2012-06-10 23:36:00,2012-06-11 20:24:00
5876,2015-08-11 07:36:00,2015-08-15 09:48:00
1669,2012-05-15 01:36:00,2012-05-24 23:48:00
5801,2015-07-21 14:36:00,2015-07-25 12:36:00
5995,2015-10-01 09:24:00,2015-10-01 10:48:00
5265,2015-02-28 09:36:00,2015-03-11 02:12:00
3763,2014-02-16 06:36:00,2014-02-26 03:36:00
5212,2015-02-12 15:24:00,2015-02-21 18:48:00
3680,2014-01-24 02:48:00,2014-01-25 07:24:00
3619,2014-01-10 16:00:00,2014-01-13 09:24:00
419,2011-03-10 15:12:00,2011-03-13 05:12:00
2192,2012-11-10 10:48:00,2012-11-10 23:48:00
843,2011-09-02 19:00:00,2011-09-15 15:36:00
4494,2014-08-24 17:24:00,2014-09-02 18:48:00
75,2010-06-28 08:00:00,2010-07-07 04:00:00
6243,2016-01-06 11:00:00,2016-01-07 08:48:00
4857,2014-11-22 02:48:00,2014-11-22 20:48:00
480,2011-04-03 19:00:00,2011-04-16 21:36:00
6339,2016-02-07 05:24:00,2016-02-13 22:00:00
514,2011-04-18 13:12:00,2011-05-02 03:00:00
4820,2014-11-12 13:48:00,2014-11-16 11:36:00
3353,2013-11-06 00:48:00,2013-11-13 13:48:00
5655,2015-06-05 16:48:00,2015-06-13 03:00:00
7161,2017-10-09 13:00:00,2017-10-17 15:12:00
7116,2017-08-28 21:00:00,2017-08-30 02:48:00
3324,2013-10-27 16:36:00,2013-10-28 19:12:00
7082,2017-07-12 07:48:00,2017-07-13 17:36:00
1410,2012-02-18 00:00:00,2012-02-28 01:00:00
5758,2015-07-07 09:00:00,2015-07-20 07:12:00
1930,2012-08-06 04:36:00,2012-08-17 14:24:00
3229,2013-09-25 10:12:00,2013-10-05 06:24:00
1947,2012-08-18 00:12:00,2012-08-22 15:24:00
1489,2012-03-20 18:24:00,2012-03-24 01:12:00
2436,2013-01-30 01:24:00,2013-02-08 02:12:00
6604,2016-06-03 12:48:00,2016-06-09 13:48:00
4147,2014-05-16 21:00:00,2014-05-25 22:36:00
2441,2013-02-01 00:00:00,2013-02-06 11:00:00
2961,2013-07-12 19:24:00,2013-07-18 23:48:00
124,2010-08-07 10:36:00,2010-08-16 16:48:00
2916,2013-06-30 02:24:00,2013-07-02 09:48:00
5628,2015-05-28 11:36:00,2015-05-29 01:36:00
7088,2017-07-19 06:48:00,2017-07-27 22:48:00
1837,2012-07-05 06:36:00,2012-07-06 14:24:00
1517,2012-03-27 22:48:00,2012-03-31 06:36:00
1483,2012-03-18 20:48:00,2012-03-21 09:24:00
5752,2015-07-05 01:24:00,2015-07-12 17:12:00
7066,2017-06-29 14:12:00,2017-07-06 23:12:00
1560,2012-04-10 22:36:00,2012-04-14 14:00:00
3254,2013-10-04 11:00:00,2013-10-05 09:24:00
6679,2016-07-13 16:00:00,2016-07-19 18:00:00
2811,2013-05-29 11:24:00,2013-06-02 00:48:00
2546,2013-03-09 00:00:00,2013-03-23 03:00:00
2888,2013-06-22 05:24:00,2013-06-30 02:48:00
4040,2014-04-18 02:48:00,2014-04-29 08:12:00
6774,2016-09-22 01:48:00,2016-09-24 21:12:00
6703,2016-08-08 06:48:00,2016-08-20 21:48:00
6697,2016-08-06 10:24:00,2016-08-15 09:48:00
5218,2015-02-14 19:00:00,2015-02-23 02:24:00
5315,2015-03-09 19:36:00,2015-03-20 02:24:00
5281,2015-03-03 23:48:00,2015-03-12 06:12:00
3613,2014-01-09 11:48:00,2014-01-14 03:12:00
3664,2014-01-20 04:48:00,2014-01-26 08:36:00
587,2011-05-07 12:48:00,2011-05-18 17:36:00
4470,2014-08-17 15:00:00,2014-08-24 07:00:00
2176,2012-11-04 05:12:00,2012-11-11 10:24:00
933,2011-10-04 20:00:00,2011-10-05 15:12:00
91,2010-07-16 17:12:00,2010-07-21 18:00:00
3875,2014-03-17 19:24:00,2014-03-27 00:48:00
3996,2014-04-09 22:00:00,2014-04-22 19:48:00
1382,2012-02-04 12:24:00,2012-02-13 06:12:00
3978,2014-04-05 08:12:00,2014-04-15 07:24:00
3522,2013-12-18 18:00:00,2013-12-20 19:00:00
5053,2015-01-08 20:12:00,2015-01-15 20:48:00
755,2011-07-29 06:24:00,2011-08-05 03:36:00
6178,2015-12-11 18:24:00,2015-12-25 18:00:00
6075,2015-11-03 19:36:00,2015-11-16 21:48:00
2230,2012-11-20 19:12:00,2012-11-22 23:12:00
6196,2015-12-16 20:24:00,2015-12-26 11:00:00
6002,2015-10-05 07:36:00,2015-10-15 04:36:00
5519,2015-04-28 14:48:00,2015-05-05 22:12:00
5934,2015-08-31 10:24:00,2015-08-31 23:12:00
3068,2013-08-12 01:00:00,2013-08-24 04:36:00
3112,2013-08-20 11:24:00,2013-08-20 20:36:00
1626,2012-04-28 08:36:00,2012-04-29 22:24:00
5580,2015-05-16 12:24:00,2015-05-17 02:24:00
1651,2012-05-09 16:36:00,2012-05-15 00:00:00
3165,2013-09-07 08:12:00,2013-09-14 03:00:00
6886,2016-12-15 11:12:00,2016-12-16 08:00:00
2699,2013-04-27 15:24:00,2013-04-29 03:12:00
2677,2013-04-20 02:12:00,2013-05-02 09:48:00
268,2010-11-22 16:36:00,2010-11-24 08:00:00
6445,2016-03-19 06:48:00,2016-03-20 04:48:00
2794,2013-05-26 20:48:00,2013-06-02 07:12:00
4292,2014-06-26 21:24:00,2014-06-27 02:12:00
6868,2016-11-28 02:48:00,2016-12-05 21:00:00
1756,2012-06-09 04:36:00,2012-06-21 08:00:00
3062,2013-08-11 04:24:00,2013-08-13 18:36:00
7250,2018-04-18 15:36:00,2018-04-19 08:36:00
3181,2013-09-11 09:00:00,2013-09-15 10:24:00
7227,2018-01-08 05:24:00,2018-01-11 19:36:00
3015,2013-07-27 07:24:00,2013-07-31 01:12:00
1721,2012-05-29 13:36:00,2012-05-29 23:36:00
5949,2015-09-07 12:12:00,2015-09-13 18:12:00
5469,2015-04-17 04:48:00,2015-04-19 17:48:00
3118,2013-08-23 10:36:00,2013-08-23 17:36:00
5844,2015-08-01 20:12:00,2015-08-06 14:36:00
2693,2013-04-24 19:12:00,2013-05-06 16:00:00
318,2010-12-26 09:36:00,2011-01-01 22:36:00
4201,2014-06-02 19:24:00,2014-06-12 08:00:00
6438,2016-03-16 05:00:00,2016-03-16 20:00:00
381,2011-02-12 12:48:00,2011-02-22 12:48:00
6815,2016-10-19 02:24:00,2016-10-28 22:12:00
6981,2017-03-31 09:36:00,2017-04-04 09:24:00
5154,2015-02-03 07:12:00,2015-02-09 08:36:00
3452,2013-11-30 15:24:00,2013-12-09 08:24:00
1366,2012-01-30 09:36:00,2012-02-05 23:24:00
1388,2012-02-08 08:48:00,2012-02-10 19:48:00
3528,2013-12-20 23:48:00,2013-12-21 17:00:00
728,2011-07-14 15:24:00,2011-07-22 02:36:00
4631,2014-09-29 13:12:00,2014-10-06 19:36:00
2337,2012-12-29 12:12:00,2013-01-08 10:48:00
6091,2015-11-10 22:36:00,2015-11-15 13:00:00
2340,2012-12-30 06:36:00,2013-01-01 00:36:00
6172,2015-12-09 10:36:00,2015-12-21 05:48:00
625,2011-05-24 04:12:00,2011-06-02 03:12:00
652,2011-06-01 12:24:00,2011-06-11 07:12:00
2473,2013-02-10 09:36:00,2013-02-14 20:24:00
2829,2013-06-04 13:48:00,2013-06-06 14:36:00
6641,2016-06-23 20:24:00,2016-07-03 05:48:00
4102,2014-05-05 11:36:00,2014-05-12 04:48:00
161,2010-09-03 03:24:00,2010-09-08 06:48:00
116,2010-08-03 12:48:00,2010-08-14 02:12:00
2953,2013-07-10 15:24:00,2013-07-11 11:36:00
1422,2012-02-22 20:24:00,2012-03-06 19:48:00
3316,2013-10-25 12:48:00,2013-10-30 14:24:00
7124,2017-09-02 18:36:00,2017-09-04 08:36:00
3282,2013-10-14 04:36:00,2013-10-20 08:36:00
1878,2012-07-22 18:36:00,2012-07-26 05:00:00
7153,2017-09-26 20:36:00,2017-09-28 09:24:00
1455,2012-03-04 11:12:00,2012-03-10 09:24:00
5689,2015-06-15 05:48:00,2015-06-15 09:24:00
1558,2012-04-10 02:24:00,2012-04-22 15:00:00
6271,2016-01-13 01:24:00,2016-01-19 04:00:00
47,2010-06-07 06:36:00,2010-06-10 12:12:00
2043,2012-09-18 09:00:00,2012-09-22 20:00:00
4968,2014-12-19 14:00:00,2014-12-20 08:36:00
6206,2015-12-21 05:00:00,2016-01-03 07:48:00
4532,2014-09-03 11:48:00,2014-09-11 21:00:00
4986,2014-12-23 15:12:00,2014-12-31 00:12:00
4448,2014-08-10 10:24:00,2014-08-23 08:36:00
2139,2012-10-21 03:12:00,2012-10-27 13:48:00
5220,2015-02-15 03:00:00,2015-02-18 07:00:00
1186,2011-12-12 05:00:00,2011-12-21 12:00:00
3726,2014-02-05 22:48:00,2014-02-13 22:48:00
1012,2011-10-27 00:36:00,2011-11-02 21:24:00
5257,2015-02-26 03:36:00,2015-02-26 19:24:00
