DEF_HARPNUM,Minimum,Maximum
1876,2012-07-21 17:00:00,2012-07-22 19:48:00
2493,2013-02-16 00:12:00,2013-02-27 10:00:00
4195,2014-05-31 20:48:00,2014-06-04 11:48:00
2570,2013-03-14 04:36:00,2013-03-19 21:36:00
4076,2014-04-27 06:00:00,2014-05-06 16:24:00
181,2010-09-11 19:00:00,2010-09-12 16:36:00
2827,2013-06-04 00:24:00,2013-06-07 14:48:00
5354,2015-03-20 14:12:00,2015-04-02 21:12:00
5323,2015-03-11 00:12:00,2015-03-19 09:36:00
1085,2011-11-15 07:00:00,2011-11-18 13:12:00
3728,2014-02-07 11:12:00,2014-02-08 04:36:00
1188,2011-12-12 13:12:00,2011-12-14 21:36:00
2137,2012-10-20 13:48:00,2012-11-02 20:48:00
4431,2014-08-03 08:36:00,2014-08-07 22:00:00
4988,2014-12-23 21:36:00,2015-01-01 09:00:00
891,2011-09-21 09:00:00,2011-09-21 19:48:00
6372,2016-02-19 11:24:00,2016-02-21 09:12:00
905,2011-09-26 08:48:00,2011-10-03 01:36:00
2140,2012-10-21 10:48:00,2012-10-25 06:24:00
425,2011-03-13 05:00:00,2011-03-20 05:12:00
6208,2015-12-21 21:12:00,2015-12-22 06:12:00
808,2011-08-21 00:24:00,2011-08-27 11:36:00
49,2010-06-08 03:36:00,2010-06-13 13:48:00
452,2011-03-26 21:24:00,2011-03-30 19:24:00
3658,2014-01-19 07:12:00,2014-01-25 22:12:00
1016,2011-10-28 05:48:00,2011-11-06 10:00:00
5224,2015-02-15 19:24:00,2015-02-15 21:12:00
6378,2016-02-21 09:12:00,2016-02-21 14:12:00
4816,2014-11-11 19:12:00,2014-11-19 10:24:00
4861,2014-11-22 14:00:00,2014-11-24 19:12:00
978,2011-10-17 08:48:00,2011-10-21 21:24:00
802,2011-08-18 04:48:00,2011-08-21 00:24:00
43,2010-05-31 04:12:00,2010-06-07 21:36:00
2047,2012-09-19 14:12:00,2012-09-30 18:48:00
4541,2014-09-05 22:24:00,2014-09-09 11:48:00
6275,2016-01-15 08:24:00,2016-01-23 22:00:00
4536,2014-09-04 06:00:00,2014-09-17 22:48:00
6396,2016-02-28 04:12:00,2016-03-03 17:12:00
2030,2012-09-12 08:24:00,2012-09-21 13:48:00
875,2011-09-17 00:36:00,2011-09-22 11:00:00
1971,2012-08-25 08:36:00,2012-09-03 05:12:00
1892,2012-07-26 13:00:00,2012-08-02 22:48:00
3268,2013-10-09 09:36:00,2013-10-13 07:00:00
7120,2017-08-30 22:48:00,2017-09-05 18:24:00
3286,2013-10-14 18:24:00,2013-10-27 05:00:00
1426,2012-02-24 23:24:00,2012-03-02 07:12:00
3312,2013-10-24 06:12:00,2013-10-26 08:48:00
3365,2013-11-09 00:36:00,2013-11-11 07:12:00
2920,2013-07-01 06:00:00,2013-07-14 15:36:00
6748,2016-09-08 03:00:00,2016-09-09 20:00:00
